title,price,mileage,location,year,trim,state,distance,state_AK,state_AL,state_AR,state_AZ,state_CA,state_CO,state_CT,state_DE,state_FL,state_GA,state_HI,state_IA,state_ID,state_IL,state_IN,state_KS,state_KY,state_LA,state_MA,state_MD,state_MI,state_MN,state_MO,state_MT,state_NC,state_ND,state_NE,state_NH,state_NJ,state_NM,state_NV,state_NY,state_OH,state_OK,state_OR,state_PA,state_SC,state_SD,state_TN,state_TX,state_UT,state_VA,state_WA,state_WI,trim_S,trim_SE,trim_SEL,trim_SES,trim_ST,trim_ST Line,trim_Titanium
2019 Ford Fiesta SE,11895,41344,"Camdenton, MO (668 mi.)",2019,SE,MO,668,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2017 Ford Fiesta SE,11595,82265,"Morrow, GA (1,218 mi.)",2017,SE,GA,1218,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2019 Ford Fiesta SE,12998,67853,"Baton Rouge, LA (1,017 mi.)",2019,SE,LA,1017,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2015 Ford Fiesta SE,9990,12345,"Niagara Falls, NY (1,360 mi.)",2015,SE,NY,1360,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016 Ford Fiesta S,10599,101888,"Newport News, VA (1,543 mi.)",2016,S,VA,1543,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
2018 Ford Fiesta SE,13998,52240,"Wilmington, NC (1,538 mi.)",2018,SE,NC,1538,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2019 Ford Fiesta SE,13599,63557,"Winston-Salem, NC (1,362 mi.)",2019,SE,NC,1362,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2015 Ford Fiesta SE,5950,107000,"Rochester, NY (1,428 mi.)",2015,SE,NY,1428,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2019 Ford Fiesta SE,13998,31834,"San Diego, CA (830 mi.)",2019,SE,CA,830,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2017 Ford Fiesta SE,12599,70063,"Rogers, AR (636 mi.)",2017,SE,AR,636,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
