title,price,mileage,location
2018 Ford Fiesta SE,"$8,270","67,205 mi.","Blackfoot, ID (451 mi.)"
2017 Ford Fiesta SE,"$8,500","70,798 mi.","Kansas City, MO (552 mi.)"
2019 Ford Fiesta SE,"$10,988","75,472 mi.","Zainesville, OH (1,214 mi.)"
2019 Ford Fiesta SE,"$10,000","44,355 mi.","Austin, TX (767 mi.)"
2016 Ford Fiesta ST,"$10,995","99,873 mi.","South Sioux City, NE (482 mi.)"
2016 Ford Fiesta SE,"$6,995","113,577 mi.","Grand Rapids, MI (1,023 mi.)"
2019 Ford Fiesta SE 4dr Hatchback,"$6,950","96,510 mi.","Pensacola, FL (1,185 mi.)"
2016 Ford Fiesta ST,"$15,499","64,868 mi.","Sacramento, CA (883 mi.)"
2015 Ford Fiesta ST,"$9,490","100,808 mi.","Plano, TX (655 mi.)"
2017 Ford Fiesta TITANIUM,"$7,995","123,724 mi.","Baton Rouge, LA (1,015 mi.)"
2017 Ford Fiesta SE,"$7,388","112,740 mi.","Milan, TN (923 mi.)"
2019 Ford Fiesta SE,"$11,577","132,662 mi.","Centralia, MO (684 mi.)"
2019 Ford Fiesta S,"$8,711","64,425 mi.","Marianna, FL (1,270 mi.)"
2013 Ford Fiesta SE,"$6,970","118,091 mi.","Fresno, CA (830 mi.)"
2014 Ford Fiesta SE,"$7,995","51,903 mi.","Des Moines, IA (606 mi.)"
2015 Ford Fiesta SE,"$5,999","159,786 mi.","Benicia, CA (930 mi.)"
2019 Ford Fiesta ST Line,"$5,900","202,926 mi.","Flint, MI (1,121 mi.)"
2015 Ford Fiesta SE,"$9,499","117,527 mi.","Monroe, WI (820 mi.)"
2019 Ford Fiesta SE,"$8,995","85,609 mi.","Ponchatoula, LA (1,041 mi.)"
2019 Ford Fiesta SE,"$9,995","105,546 mi.","Chico, CA (895 mi.)"
2015 Ford Fiesta S,"$4,995","109,850 mi.","Burnsville, MN (688 mi.)"
2015 Ford Fiesta SE 4dr Sedan,"$6,995","143,069 mi.","Muskego, WI (900 mi.)"
2019 Ford Fiesta SE 4dr Sedan,"$8,450","88,611 mi.","Columbus, GA (1,222 mi.)"
2016 Ford Fiesta SE,"$8,499","85,754 mi.","Kennedale, TX (653 mi.)"
2017 Ford Fiesta SE,"$8,395","104,215 mi.","Dagsboro, DE (1,588 mi.)"
2017 Ford Fiesta SE,"$6,800","125,620 mi.","West Lafayette, IN (951 mi.)"
2017 Ford Fiesta ST,"$13,499","109,769 mi.","Rio Rancho, NM (326 mi.)"
2015 Ford Fiesta SE,"$7,499","80,683 mi.","Freer, TX (898 mi.)"
2012 Ford Fiesta SES,"$5,999","100,943 mi.","North Chesterfield, VA (1,480 mi.)"
2017 Ford Fiesta ST,"$11,395","74,974 mi.","Addison, TX (652 mi.)"
2019 Ford Fiesta SE,"$9,950","77,000 mi.","Little Rock, AR (774 mi.)"
2019 Ford Fiesta SE,"$10,995","71,063 mi.","Nanticoke, PA (1,518 mi.)"
2015 Ford Fiesta SE,"$6,495","117,195 mi.","Highland Springs, VA (1,494 mi.)"
2014 Ford Fiesta SE 4dr Sedan,"$6,900","130,508 mi.","Cedar Creek, TX (790 mi.)"
2019 Ford Fiesta S,"$10,593","45,874 mi.","Colorado Springs, CO (65 mi.)"
2017 Ford Fiesta SE,"$6,999","132,878 mi.","Nampa, ID (654 mi.)"
2012 Ford Fiesta SE,"$5,200","112,620 mi.","Martinsville, VA (1,379 mi.)"
2019 Ford Fiesta SE,"$10,499","63,115 mi.","Culver City, CA (841 mi.)"
2013 Ford Fiesta SE,"$5,799","98,774 mi.","Edmonds, WA (1,026 mi.)"
2012 Ford Fiesta S,"$4,500","183,000 mi.","Morris, IL (874 mi.)"
2019 Ford Fiesta ST,"$11,900","148,002 mi.","Madras, OR (892 mi.)"
2014 Ford Fiesta Titanium,"$3,900","134,898 mi.","Puyallup, WA (1,007 mi.)"
2019 Ford Fiesta SE,"$7,999","95,491 mi.","Crossville, TN (1,115 mi.)"
2015 Ford Fiesta ST,"$6,495","203,306 mi.","St. Louis, MO (785 mi.)"
2019 Ford Fiesta ST Line,"$9,500","96,552 mi.","Stone Mountain, GA (1,222 mi.)"
2018 Ford Fiesta SE,"$6,750","80,029 mi.","Las Vegas, NV (610 mi.)"
2017 Ford Fiesta Titanium,"$11,985","49,177 mi.","Huber Heights, OH (1,103 mi.)"
2016 Ford Fiesta SE,"$5,495","122,619 mi.","Gastonia, NC (1,340 mi.)"
2015 Ford Fiesta SE,"$9,988","76,560 mi.","Hayesville, NC (1,202 mi.)"
2013 Ford Fiesta SE,"$9,999","55,754 mi.","Grandview, MO (561 mi.)"
2015 Ford Fiesta SE,"$6,995","129,266 mi.","Omaha, NE (481 mi.)"
2014 Ford Fiesta SE,"$5,375","113,324 mi.","Dexter, MI (1,109 mi.)"
2018 Ford Fiesta SE,"$4,800","118,088 mi.","Orem, UT (359 mi.)"
2019 Ford Fiesta SE,"$8,793","42,579 mi.","Tucson, AZ (618 mi.)"
2016 Ford Fiesta SE,"$12,999","52,409 mi.","St George, UT (501 mi.)"
2011 Ford Fiesta SE,"$7,749","53,785 mi.","Asheboro, NC (1,400 mi.)"
2014 Ford Fiesta SE,"$7,499","84,350 mi.","Hillsboro, OH (1,136 mi.)"
2019 Ford Fiesta ST Line,"$7,500","129,397 mi.","Orlando, FL (1,550 mi.)"
2013 Ford Fiesta SE,"$6,450","162,523 mi.","Spring Hill, KS (547 mi.)"
2014 Ford Fiesta SE,"$3,000","150,830 mi.","Dudley, NC (1,503 mi.)"
2016 Ford Fiesta SE,"$9,295","51,603 mi.","Shohola, PA (1,573 mi.)"
2014 Ford Fiesta SE,"$7,497","83,153 mi.","St. Louis Park, MN (693 mi.)"
2019 Ford Fiesta SE,"$10,500","62,980 mi.","Tappahannock, VA (1,511 mi.)"
2013 Ford Fiesta SE,"$2,900","154,378 mi.","Lancaster, SC (1,371 mi.)"
2019 Ford Fiesta SE,"$8,495","102,944 mi.","Sunland, CA (828 mi.)"
2013 Ford Fiesta SE,"$7,995","83,593 mi.","Anderson, IN (1,021 mi.)"
2011 Ford Fiesta SE,"$7,999","77,619 mi.","Portland, OR (986 mi.)"
2016 Ford Fiesta SE,"$5,995","87,368 mi.","Clearwater, FL (1,505 mi.)"
2015 Ford Fiesta SE,"$5,999","86,912 mi.","West Babylon, NY (1,661 mi.)"
2017 Ford Fiesta ST,"$11,500","73,682 mi.","Mebane, NC (1,421 mi.)"
2013 Ford Fiesta SE,"$6,995","117,683 mi.","Des Moines, IA (612 mi.)"
2013 Ford Fiesta Titanium,"$6,998","75,830 mi.","Midlothian, IL (911 mi.)"
2018 Ford Fiesta SE,"$8,250","81,197 mi.","League City, TX (903 mi.)"
2018 Ford Fiesta SE,"$8,999","41,713 mi.","Omaha, NE (481 mi.)"
2014 Ford Fiesta ST,"$12,995","86,461 mi.","Everett, WA (1,026 mi.)"
2015 Ford Fiesta S,"$6,997","81,267 mi.","Banning, CA (773 mi.)"
2017 Ford Fiesta SE,"$6,926","126,441 mi.","Bremerton, WA (1,034 mi.)"
2017 Ford Fiesta SE,"$7,595","120,667 mi.","Los Angeles, CA (829 mi.)"
